Altium Designer Pick and Place Locations
E:\STM32\MIT Project\PCB\8 Motors\8 Motors V2\Project Outputs for 8 Motors\Pick Place for 8 Motors.csv

========================================================================================================================
File Design Information:

Date:       07/10/24
Time:       01:15
Revision:   0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"H6","#NAME?","TopLayer","HC-1.25-3PLT","63.809","48.734","180","排针3P"
"H7","#NAME?","TopLayer","HC-1.25-3PLT","101.147","48.734","180","排针3P"
"H8","#NAME?","TopLayer","HC-1.25-3PLT","138.358","48.749","180","排针3P"
"H9","#NAME?","TopLayer","Testpoint","151.511","23.622","270","测试点"
"H10","#NAME?","TopLayer","Testpoint","127.127","34.417","270","测试点"
"H11","#NAME?","TopLayer","Testpoint","151.511","20.066","0","测试点"
"H12","#NAME?","TopLayer","HC-1.25-8PLT","98.425","5.207","180","排针8P"
"L1","22uH","TopLayer","L0603_22uH","133.096","29.083","90","0603电感"
"L2","22uH","TopLayer","L0603_22uH","135.382","29.083","90","0603电感"
"L3","3.3uH","TopLayer","L1360","45.466","24.765","360","电感值 3.3uH   精度 ±20%   额定电流 16A   饱和电流(Isat) 22A   直流电阻(DCR) 6mΩ   类型 一体成型电感"
"L4","10uH","TopLayer","L1110_10uH","69.723","9.779","360","功率电感"
"LED1","#NAME?","TopLayer","LED","137.033","18.288","180","发光二极管 绿色"
"LED2_+24V","#NAME?","TopLayer","LED","58.801","6.858","180","发光二极管 绿色"
"LED3_+5V","#NAME?","TopLayer","LED","89.662","6.794","180","发光二极管 绿色"
"LED4_+3.3V","#NAME?","TopLayer","LED","134.239","7.207","180","发光二极管 绿色"
"Q1","#NAME?","TopLayer","NMOS","28.956","30.353","180","1个N沟道 耐压:30V 电流:86A"
"Q2","#NAME?","TopLayer","CSD18533Q5A","25.576","22.860","270","NMOS 漏源电压(Vdss) 60V   连续漏极电流(Id) 17A；100A   功率(Pd) 3.2W；116W   导通电阻(RDS(on)@Vgs,Id) 5.9mΩ@10V,18A"
"R1","1MΩ","TopLayer","R0603","54.311","87.088","90","0603电阻"
"R2","1MΩ","TopLayer","R0603","91.903","87.469","90","0603电阻"
"R3","1MΩ","TopLayer","R0603","14.505","86.233","90","0603电阻"
"R4","200mΩ","TopLayer","R1206_200mΩ","16.002","82.550","0","1206电阻"
"R5","200mΩ","TopLayer","R1206_200mΩ","56.697","83.786","0","1206电阻"
"R6","200mΩ","TopLayer","R1206_200mΩ","94.289","84.421","0","1206电阻"
"R7","200mΩ","TopLayer","R1206_200mΩ","11.557","81.280","270","1206电阻"
"R8","200mΩ","TopLayer","R1206_200mΩ","52.070","82.296","270","1206电阻"
"R9","200mΩ","TopLayer","R1206_200mΩ","89.281","83.185","270","1206电阻"
"R10","10kΩ","TopLayer","R0603_10KΩ","30.607","80.899","360","0603电阻"
"R11","10kΩ","TopLayer","R0603_10KΩ","70.413","80.611","360","0603电阻"
"R12","10kΩ","TopLayer","R0603_10KΩ","107.878","80.611","360","0603电阻"
"R13","10kΩ","TopLayer","R10k_KT","31.369","74.549","360","可调电阻/电位器   阻值 10kΩ   精度 ±25%   额定电压 -   功率 150mW   温度系数 ±250ppm/℃   圈数 1"
"R14","10kΩ","TopLayer","R10k_KT","71.175","74.261","360","可调电阻/电位器   阻值 10kΩ   精度 ±25%   额定电压 -   功率 150mW   温度系数 ±250ppm/℃   圈数 1"
"R15","10kΩ","TopLayer","R10k_KT","108.640","74.261","360","可调电阻/电位器   阻值 10kΩ   精度 ±25%   额定电压 -   功率 150mW   温度系数 ±250ppm/℃   圈数 1"
"R16","1MΩ","TopLayer","R0603","128.822","86.351","90","0603电阻"
"R17","1MΩ","TopLayer","R0603","13.925","61.053","90","0603电阻"
"R18","1MΩ","TopLayer","R0603","54.184","60.926","90","0603电阻"
"R19","200mΩ","TopLayer","R1206_200mΩ","130.446","83.303","0","1206电阻"
"R20","200mΩ","TopLayer","R1206_200mΩ","16.002","57.531","0","1206电阻"
"R21","200mΩ","TopLayer","R1206_200mΩ","56.189","57.624","0","1206电阻"
"R22","200mΩ","TopLayer","R1206_200mΩ","125.476","82.042","270","1206电阻"
"R23","200mΩ","TopLayer","R1206_200mΩ","11.049","56.261","270","1206电阻"
"R25","10kΩ","TopLayer","R0603_10KΩ","145.178","80.636","360","0603电阻"
"R26","10kΩ","TopLayer","R0603_10KΩ","30.535","54.957","360","0603电阻"
"R27","10kΩ","TopLayer","R0603_10KΩ","70.286","55.084","360","0603电阻"
"R28","10kΩ","TopLayer","R10k_KT","145.940","74.286","360","可调电阻/电位器   阻值 10kΩ   精度 ±25%   额定电压 -   功率 150mW   温度系数 ±250ppm/℃   圈数 1"
"R29","10kΩ","TopLayer","R10k_KT","31.297","48.607","360","可调电阻/电位器   阻值 10kΩ   精度 ±25%   额定电压 -   功率 150mW   温度系数 ±250ppm/℃   圈数 1"
"R30","10kΩ","TopLayer","R10k_KT","71.048","48.734","360","可调电阻/电位器   阻值 10kΩ   精度 ±25%   额定电压 -   功率 150mW   温度系数 ±250ppm/℃   圈数 1"
"R31","1MΩ","TopLayer","R0603","91.268","60.926","90","0603电阻"
"R32","1MΩ","TopLayer","R0603","128.733","60.687","90","0603电阻"
"R33","200mΩ","TopLayer","R1206_200mΩ","93.345","57.531","0","1206电阻"
"R34","200mΩ","TopLayer","R1206_200mΩ","130.683","57.404","0","1206电阻"
"R35","200mΩ","TopLayer","R1206_200mΩ","88.265","56.261","270","1206电阻"
"R36","200mΩ","TopLayer","R1206_200mΩ","126.111","56.134","270","1206电阻"
"R37","10kΩ","TopLayer","R0603_10KΩ","107.624","55.084","360","0603电阻"
"R38","10kΩ","TopLayer","R0603_10KΩ","144.835","55.099","360","0603电阻"
"R39","10kΩ","TopLayer","R10k_KT","108.386","48.734","360","可调电阻/电位器   阻值 10kΩ   精度 ±25%   额定电压 -   功率 150mW   温度系数 ±250ppm/℃   圈数 1"
"R40","10kΩ","TopLayer","R10k_KT","145.597","48.749","360","可调电阻/电位器   阻值 10kΩ   精度 ±25%   额定电压 -   功率 150mW   温度系数 ±250ppm/℃   圈数 1"
"R41","0Ω","TopLayer","R0603","122.555","6.388","90","阻值 0Ω   精度 ±1%   功率 100mW   最大工作电压 75V   工作温度范围 -55℃~+155℃"
"R42","0Ω","TopLayer","R0603","120.777","6.350","90","阻值 0Ω   精度 ±1%   功率 100mW   最大工作电压 75V   工作温度范围 -55℃~+155℃"
"R43","1MΩ","TopLayer","R0603","129.413","22.606","90","0603电阻"
"R44","10kΩ","TopLayer","R0603_10KΩ","119.126","34.798","90","0603电阻"
"R45","10kΩ","TopLayer","R0603_10KΩ","138.049","14.753","180","0603电阻"
"R46","2kΩ","TopLayer","R0603","133.223","18.288","180","0603电阻"
"R47","2.15kΩ","TopLayer","R0603","33.401","16.510","90","0603电阻"
"R48","140kΩ","TopLayer","R0805","45.385","4.417","360","0805电阻"
"R49","10kΩ","TopLayer","R0603_10KΩ","85.734","6.700","180","0603电阻"
"R50","52.3kΩ","TopLayer","R0603_10KΩ","72.136","20.955","360","0603电阻"
"R51","10kΩ","TopLayer","R0603_10KΩ","68.580","20.955","360","0603电阻"
"R52","4.7kΩ","TopLayer","R0603_10KΩ","130.302","7.112","180","0603电阻"
"RJ1","20kΩ","TopLayer","R20k_KT","38.354","5.969","360","可调电阻，20K"
"SW1","#NAME?","TopLayer","Switch","139.827","12.065","360","轻触开关   电路结构 单刀单掷   按钮形状 圆形按钮   作用力 2.5N   安装方式 立贴   开关长度 3.9mm   开关宽度 2.9mm   开关高度 2mm   带支架 不带   触点电流 50mA   额定电压(DC) 12V"
"U1","#NAME?","TopLayer","DRV8825PWPR","24.384","83.185","270","步进电机驱动芯片"
"U2","#NAME?","TopLayer","DRV8825PWPR","64.190","82.897","270","步进电机驱动芯片"
"U3","#NAME?","TopLayer","DRV8825PWPR","101.655","82.897","270","步进电机驱动芯片"
"U4","#NAME?","TopLayer","DRV8825PWPR","138.955","82.922","270","步进电机驱动芯片"
"U5","#NAME?","TopLayer","DRV8825PWPR","24.312","57.243","270","步进电机驱动芯片"
"U6","#NAME?","TopLayer","DRV8825PWPR","64.063","57.370","270","步进电机驱动芯片"
"U7","#NAME?","TopLayer","DRV8825PWPR","101.401","57.385","270","步进电机驱动芯片"
"U8","#NAME?","TopLayer","DRV8825PWPR","138.612","57.385","270","步进电机驱动芯片"
"U9","#NAME?","TopLayer","STM32F407ZGT6","115.570","20.447","90","CPU内核：ARM-M4  程序存储容量：1MB  RAM总容量：192KB  GPIO端口数量：114  工作电压范围：1.8V~3.6V  CPU最大主频：168MHz  程序存储器类型：FLASH  工作温度范围：-40℃~+85℃  ADC(位数)：12bit  DAC(位数)：12bit"
"U10","#NAME?","TopLayer","XT60PW-F","10.160","20.066","90","卧式插头"
"U11","147kΩ","TopLayer","R0603","33.020","10.287","360","0603电阻"
"U13","#NAME?","TopLayer","AMS1117-3.3","84.963","27.559","180","5V-3.3V"
"U14","#NAME?","TopLayer","TPS62932DRLR","64.135","18.034","270","DCDC BUCK"
"U15","100kΩ","TopLayer","R0603","54.864","6.763","180","0603电阻"
"X1","8MHz","TopLayer","Osc_8M","134.493","22.352","360","8Mhz晶振"
"U12","#NAME?","TopLayer","LM3150MHX/NOPB","28.448","13.208","360","DC-DC电源芯片   功能类型 降压型   输入电压 6V~42V   输出电流 12A   开关频率 1MHz"
"C56","100nF","TopLayer","C0402_2.2uF","111.887","34.798","90","0402电容"
"C86","10uF","TopLayer","C0402_2.2uF","99.187","18.161","360","0402电容"
"C87","100nF","TopLayer","C0402_2.2uF","99.187","16.510","360","0402电容"
"R56","10kΩ","TopLayer","R0603","90.034","13.335","360","0603电阻"
"R57","120Ω","TopLayer","R0603","79.248","12.319","360","0603电阻"
"U16","#NAME?","TopLayer","SN65HVD230DR","92.075","17.526","90","CAN收发器"
"U17","#NAME?","TopLayer","PESD0603-240","86.106","18.796","360","ESD"
"U18","#NAME?","TopLayer","PESD0603-240","86.106","16.510","360","ESD"
